	version_1	version_2	version_3
309	8350.t00315	9629.t00316	
310	8350.t00316	9629.t00317	11667.t00314
311	8350.t00317	9629.t00318	11667.t00315
312	8350.t00318	9629.t00319	11667.t00316
313	8350.t00319	9629.t00320	11667.t00317
314	8350.t00320	9629.t00321	11667.t00318
315	8350.t00321	9629.t00322	11667.t00319
316	8350.t00322	9629.t00323	11667.t00320
317	8350.t00323	9629.t00324	11667.t00321
318	8350.t00324	9629.t00325	11667.t00322
319	8350.t00325	9629.t00326	11667.t00323
320	8350.t00326	9629.t00327	11667.t00324
321	8350.t00327	9629.t00328	11667.t00325
322	8350.t00328	9629.t00329	11667.t00326
323	8350.t00329	9629.t00330	11667.t00327
324	8350.t00330	9629.t00331	11667.t00328
325	8350.t00331	9629.t00332	11667.t00329
326	8350.t00332	9629.t00333	11667.t00330
327	8350.t00333	9629.t00334	11667.t00331
328	8350.t00334	9629.t00335	11667.t00332
329	8350.t00335	9629.t00336	11667.t00333
330	8350.t00336	9629.t00337	11667.t00334
331	8350.t00337	9629.t00338	11667.t00335
332	8350.t00338	9629.t00339	11667.t00336
333	8350.t00339	9629.t00340	11667.t00337
334	8350.t00340	9629.t00341	11667.t00338
335	8350.t00341	9629.t00342	11667.t00339
336	8350.t00342	9629.t00343	11667.t00340
337	8350.t00343	9629.t00344	11667.t00341
338	8350.t00344	9629.t00345	11667.t00342
339	8350.t00345	9629.t00346	11667.t00343
340	8350.t00346	9629.t00347	11667.t00344
341	8350.t00347	9629.t00348	11667.t00345
342	8350.t00348	9629.t00349	11667.t00346
343	8350.t00349	9629.t00350	11667.t00347
344	8350.t00350	9629.t00351	11667.t00348
345	8350.t00351	9629.t00352	11667.t00349
346	8350.t00352	9629.t00353	11667.t00350
347	8350.t00353	9629.t00354	11667.t00351
348	8350.t00354	9629.t00355	11667.t00352
349	8350.t00355	9629.t00356	11667.t00353
350	8350.t00356	9629.t00357	11667.t00354
351	8350.t00357	9629.t00358	11667.t00355
352	8350.t00358	9629.t00359	11667.t00356
353	8350.t00359	9629.t00360	11667.t00357
354	8350.t00360	9629.t00361	11667.t00358
355	8350.t00361	9629.t00362	11667.t00359
356	8350.t00362	9629.t00363	11667.t00360
357	8350.t00363	9629.t00364	11667.t00361
